Instant,Datetime,Season,Year,Month,Hour,Holiday,Weekday,Weather,Temperature,Atemp,Humidity,Windspeed,Casual,Registered,Total_Count,Week_name,Month_name,Weather_condition
1,2011-01-01,1,0,1,0,0,6,1,0.24,0.2879,0.81,0.0,3,13,16,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2,2011-01-01,1,0,1,1,0,6,1,0.22,0.2727,0.8,0.0,8,32,40,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
3,2011-01-01,1,0,1,2,0,6,1,0.22,0.2727,0.8,0.0,5,27,32,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
4,2011-01-01,1,0,1,3,0,6,1,0.24,0.2879,0.75,0.0,3,10,13,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
5,2011-01-01,1,0,1,4,0,6,1,0.24,0.2879,0.75,0.0,0,1,1,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
6,2011-01-01,1,0,1,5,0,6,2,0.24,0.2576,0.75,0.0896,0,1,1,Sat,Jan,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
7,2011-01-01,1,0,1,6,0,6,1,0.22,0.2727,0.8,0.0,2,0,2,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
8,2011-01-01,1,0,1,7,0,6,1,0.2,0.2576,0.86,0.0,1,2,3,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
9,2011-01-01,1,0,1,8,0,6,1,0.24,0.21195783619817998,0.75,0.0,1,7,8,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
10,2011-01-01,1,0,1,9,0,6,1,0.32,0.3485,0.76,0.0,8,6,14,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
11,2011-01-01,1,0,1,10,0,6,1,0.38,0.3939,0.76,0.2537,12,24,36,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
12,2011-01-01,1,0,1,11,0,6,1,0.36,0.3333,0.81,0.2836,26,30,56,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
13,2011-01-01,1,0,1,12,0,6,1,0.42,0.4242,0.77,0.2836,29,55,84,Sat,Jan,"Clear, Few clouds, Partly cloudy, Partly cloudy"
